"cod_hda_key","fecha_visita","radicado","hda_label","ingenio_full","municipio","corregimiento","coordenadas","categoria_alerta","boletin_n"
"MN_000015",NA,NA,"ABROJAL_015","MANUELITA","Palmira","Obando","3.5929, -76.3728","Alerta Boletín Histórico + Focalización Operativa","4, 5, 6"
"MN_000051",NA,NA,"LISBOA_051","MANUELITA","Palmira","Guanabanal","3.4976, -76.4188","Alerta Boletín Histórico","2, 3"
"MN_000065",NA,NA,"POMA SUERTES 11 y 11A_065","MANUELITA","Palmira","Obando","3.5626, -76.3757","Alerta Boletín Histórico","2, 3"
"MN_000070",NA,NA,"FLORENCIA MEJIA SUERTE 3_070","MANUELITA","Candelaria","El Carmelo","3.4438, -76.4327","Alerta Boletín Histórico","4"
"MN_000074",NA,NA,"CASABCA/DOLORES_074","MANUELITA","Palmira","Juanchito","3.4853, -76.4658","Alerta Inminente","3, 4, 5, 6, 7"
"MN_000078",NA,NA,"MIRAFLORES 4_078","MANUELITA","Palmira","Matapalo","3.5783, -76.4378","Alerta Boletín Histórico","4"
"MN_000110",NA,NA,"AGUA CLARA ALFREDO_110","MANUELITA","Palmira","Aguaclara","3.5028, -76.2494","Alerta Boletín Histórico","3, 4"
"MN_000118",NA,NA,"DUNKERQUE_118","MANUELITA","Candelaria","El Tiple","3.359, -76.4556","Alerta Inminente","7"
"MN_000119",NA,NA,"SAN MIGUEL_119","MANUELITA","Candelaria","El Carmelo","3.3981, -76.4267","Alerta Inminente + Focalización Operativa","5, 6"
"MN_000137",NA,NA,"LOMITAS_137","MANUELITA","Palmira","Coronado","3.5587, -76.3064","Alerta Inminente","6, 7"
"MN_000300",NA,NA,"SAN JOSE_300","MANUELITA","Palmira","Aguaclara","3.5119, -76.2651","Focalización Operativa + Alerta Boletín Histórico + Alerta Inminente + Ficha Técnica Regional","2, 3, 4, 5, 6"
"MN_000303",NA,NA,"CONCEPCION_303","MANUELITA","Palmira","Amaime","3.5936, -76.2971","Alerta Boletín Histórico","5, 6"
"MN_000305",NA,NA,"REFLEJO_305","MANUELITA","El Cerrito","San Antonio","3.6715, -76.3745","Focalización Operativa","3, 4, 5, 6, 7"
"MN_000314",NA,NA,"LOTE RODRIGUEZ_314","MANUELITA","Palmira","Bolo - La Italia","3.5139, -76.2754","Alerta Boletín Histórico","2, 3"
"MN_000320",NA,NA,"CORBATA_320","MANUELITA","Palmira","Caucaseco","3.5489, -76.4831","Alerta Boletín Histórico + Alerta Inminente","5"
"MN_000326",NA,NA,"MALIMBU_326","MANUELITA","Palmira","La Herradura","3.5418, -76.3417","Alerta Boletín Histórico","2"
"MN_000341",NA,NA,"BARRANCAS  MANUEL FELIPE_341","MANUELITA","Palmira","Barrancas","3.5449, -76.2324","Alerta Inminente","7"
"MN_000343",NA,NA,"GUAGUYA_343","MANUELITA","Palmira","La Acequia","3.6505, -76.415","Alerta Boletín Histórico","2"
"MN_000346",NA,NA,"SOCORRO 3_346","MANUELITA","Palmira","Coronado","3.5523, -76.334","Alerta Inminente","5, 7"
"MN_000347",NA,NA,"SANTA ROSA_347","MANUELITA","Palmira","Tienda Nueva","3.586, -76.2489","Alerta Inminente + Focalización Operativa","7"
"MN_000359",NA,NA,"JOSEPILLA_359","MANUELITA","Palmira","Obando","3.5587, -76.4016","Alerta Inminente + Focalización Operativa","7"
"MN_000362",NA,NA,"ORIENTE_362","MANUELITA","Palmira","Guayabal","3.5584, -76.2593","Alerta Inminente + Focalización Operativa","2, 5, 7"
"MN_000367",NA,NA,"GERMANIA_367","MANUELITA","Palmira","Barrancas","3.5338, -76.2394","Alerta Inminente + Focalización Operativa + Top 10 Regional","3, 4, 5, 6, 7"
"MN_000371",NA,NA,"SOLEDAD 1_371","MANUELITA","Palmira","Rozo","3.5962, -76.3712","Alerta Boletín Histórico","5"
