"COD_HDA_8","LAT","LON","Notas","Fecha_Georref"
"CA012000",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012003",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012074",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012083",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012099",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012116",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012119",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012165",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012175",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012243",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012304",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012339",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012349",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012364",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012394",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012438",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012443",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012448",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012474",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012497",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012498",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012501",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012502",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012512",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012514",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012516",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012531",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012533",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012536",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012552",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012554",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012593",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012597",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012599",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012612",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012615",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012642",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012660",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012662",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012678",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012692",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012699",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012700",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012702",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012703",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012738",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012838",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012866",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA012867",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000001",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000002",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000003",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000010",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000011",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000012",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CB000013",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
