Ingenio,Hacienda,Suerte,Municipio,Corregimiento,Codigo_14,Municipio_Clean,h8,Es_Hacienda_Ausente,Hda_Real,DAR
Providencia,LA MANSION 1,003C,El Cerrito,nd,PR08032300003C,EL CERRITO,PR080323,True,LA MANSION,SURORIENTE
Providencia,LA ARGELIA,364G,El Cerrito,nd,PR08011100364G,EL CERRITO,PR080111,True,LA ARGELIA,SURORIENTE
Providencia,LA MANSION 1,006A,El Cerrito,nd,PR08032300006A,EL CERRITO,PR080323,True,LA MANSION,SURORIENTE
Providencia,SAN FERNANDO,004A,El Cerrito,nd,PR08033700004A,EL CERRITO,PR080337,True,SAN FERNANDO,SURORIENTE
Providencia,LA INDEPENDENCIA,5,El Cerrito,nd,PR080586000005,EL CERRITO,PR080586,True,LA INDEPENDENCIA,SURORIENTE
Providencia,LA INDEPENDENCIA,5,El Cerrito,nd,PR080586000005,EL CERRITO,PR080586,True,LA INDEPENDENCIA,SURORIENTE
Providencia,FATIMA,2,El Cerrito,nd,PR081386000002,EL CERRITO,PR081386,True,FATIMA,CENTRO SUR
Providencia,SAN FERNANDO,016A,El Cerrito,nd,PR08033700016A,EL CERRITO,PR080337,True,SAN FERNANDO,SURORIENTE
Providencia,LA MANSION CARMEN,008A,El Cerrito,nd,PR08016500008A,EL CERRITO,PR080165,True,LA MANSION CARMEN,SURORIENTE
Providencia,LA MANSION CARMEN,8,El Cerrito,nd,PR080165000008,EL CERRITO,PR080165,True,LA MANSION CARMEN,CENTRO SUR
Providencia,SAN FERNANDO,19,El Cerrito,nd,PR080337000019,EL CERRITO,PR080337,True,SAN FERNANDO,CENTRO SUR
Providencia,MORAIMA,5,El Cerrito,nd,PR081108000005,EL CERRITO,PR081108,True,MORAIMA,CENTRO SUR
Providencia,MORAIMA,3,El Cerrito,nd,PR081108000003,EL CERRITO,PR081108,True,MORAIMA,CENTRO SUR
Providencia,MORAIMA,1,El Cerrito,nd,PR081108000001,EL CERRITO,PR081108,True,MORAIMA,CENTRO SUR
Providencia,MORAIMA,2,El Cerrito,nd,PR081108000002,EL CERRITO,PR081108,True,MORAIMA,CENTRO SUR
Providencia,ZABALETAS EMPRESA,8,El Cerrito,nd,PR082503000008,EL CERRITO,PR082503,True,ZABALETAS EMPRESA,CENTRO SUR
Providencia,LA MANSION 1,003B,El Cerrito,nd,PR08032300003B,EL CERRITO,PR080323,True,LA MANSION,SURORIENTE
Providencia,MORAIMA,6,El Cerrito,nd,PR081108000006,EL CERRITO,PR081108,True,MORAIMA,CENTRO SUR
Providencia,QUITASUE?O,12,El Cerrito,nd,PR080812000012,EL CERRITO,PR080812,True,QUITASUE?O,CENTRO SUR
Providencia,QUITASUE?O,13,El Cerrito,nd,PR080812000013,EL CERRITO,PR080812,True,QUITASUE?O,CENTRO SUR
Providencia,LA MARIA EL ROBLE,16,El Cerrito,nd,PR080448000016,EL CERRITO,PR080448,True,LA MARIA EL ROBLE,CENTRO SUR
Providencia,LA MARIA EL ROBLE,14,El Cerrito,nd,PR080448000014,EL CERRITO,PR080448,True,LA MARIA EL ROBLE,SURORIENTE
Providencia,LA AURORA,104B,El Cerrito,nd,PR08010300104B,EL CERRITO,PR080103,True,LA AURORA,CENTRO SUR
Providencia,LA AURORA,110,El Cerrito,nd,PR080103000110,EL CERRITO,PR080103,True,LA AURORA,CENTRO SUR
Providencia,EL JARDIN,136,El Cerrito,nd,PR080126000136,EL CERRITO,PR080126,True,EL JARDIN,CENTRO SUR
Incauca,ZANJON RICO Bï¿½?ï¿½RBARA,003A,Florida,nd,CA01189900003A,FLORIDA,CA011899,True,ZANJON RICO BÏ¿½?Ï¿½RBARA,SURORIENTE
Incauca,SAN FERNANDO NORTE,2,Candelaria,nd,CA010001000002,CANDELARIA,CA010001,True,SAN FERNANDO NORTE,SURORIENTE
Incauca,ZANJON RICO Bï¿½?ï¿½RBARA,6,Florida,nd,CA011899000006,FLORIDA,CA011899,True,ZANJON RICO BÏ¿½?Ï¿½RBARA,SURORIENTE
Incauca,SANTA FE-SAA,1,Candelaria,nd,CA010093000001,CANDELARIA,CA010093,True,SANTA FE-SAA,SURORIENTE
Incauca,LAS CAï¿½?ï¿½AS,11,Florida,nd,CA010417000011,FLORIDA,CA010417,True,LAS CAÏ¿½?Ï¿½AS,SURORIENTE
Incauca,TIFTON,3,Florida,nd,CA010249000003,FLORIDA,CA010249,True,TIFTON,SURORIENTE
Incauca,LOTE CINCO,1,Candelaria,nd,CA010044000001,CANDELARIA,CA010044,True,LOTE CINCO,SURORIENTE
Incauca,LAS CAï¿½?ï¿½AS,003A,Candelaria,nd,CA01041700003A,CANDELARIA,CA010417,True,LAS CAÏ¿½?Ï¿½AS,SURORIENTE
Incauca,ZANJON RICO Bï¿½?ï¿½RBARA,11,Florida,nd,CA011899000011,FLORIDA,CA011899,True,ZANJON RICO BÏ¿½?Ï¿½RBARA,SURORIENTE
Incauca,ZANJON RICO Bï¿½?ï¿½RBARA,4,Florida,nd,CA011899000004,FLORIDA,CA011899,True,ZANJON RICO BÏ¿½?Ï¿½RBARA,SURORIENTE
Incauca,SAN FERNANDO NORTE,10,Palmira,nd,CA010001000010,PALMIRA,CA010001,True,SAN FERNANDO NORTE,SURORIENTE
Incauca,CACHIMBALITO NORTE,11,Florida,nd,CA010006000011,FLORIDA,CA010006,True,CACHIMBALITO NORTE,SURORIENTE
Incauca,SANTA FE-SAA,001A,Candelaria,nd,CA01009300001A,CANDELARIA,CA010093,True,SANTA FE-SAA,SURORIENTE
Incauca,LAS CAï¿½?ï¿½AS,002B,Candelaria,nd,CA01041700002B,CANDELARIA,CA010417,True,LAS CAÏ¿½?Ï¿½AS,SURORIENTE
Incauca,CALANDA CASTILLA,220,Florida,nd,CA011157000220,FLORIDA,CA011157,True,CALANDA CASTILLA,SURORIENTE
Incauca,LA MORA,3,Candelaria,nd,CA010294000003,CANDELARIA,CA010294,True,LA MORA,SURORIENTE
Incauca,SAN FERNANDO NORTE,1,Palmira,nd,CA010001000001,PALMIRA,CA010001,True,SAN FERNANDO NORTE,SURORIENTE
Pichichi,EL ARBOLITO,130,El Cerrito,nd,PC002286000130,EL CERRITO,PC002286,True,EL ARBOLITO,SURORIENTE
Pichichi,LA MARIA,010,El Cerrito,nd,PC002237000010,EL CERRITO,PC002237,True,LA MARIA,SURORIENTE
Pichichi,LA MARIA,020,El Cerrito,nd,PC002237000020,EL CERRITO,PC002237,True,LA MARIA,SURORIENTE
Pichichi,LA MARIA,030,El Cerrito,nd,PC002237000030,EL CERRITO,PC002237,True,LA MARIA,SURORIENTE
Pichichi,BELGICA,020,El Cerrito,San Antonio,PC002212000020,EL CERRITO,PC002212,True,BELGICA,SURORIENTE
Pichichi,BELGICA,090,El Cerrito,San Antonio,PC002212000090,EL CERRITO,PC002212,True,BELGICA,SURORIENTE
Pichichi,EL ARBOLITO,010,El Cerrito,nd,PC002286000010,EL CERRITO,PC002286,True,EL ARBOLITO,SURORIENTE
Pichichi,LA UNION,030,El Cerrito,Santa Elena,PC002423000030,EL CERRITO,PC002423,True,LA UNION,SURORIENTE
Pichichi,LA UNION,020,El Cerrito,Santa Elena,PC002423000020,EL CERRITO,PC002423,True,LA UNION,SURORIENTE
Manuelita,INES PALESTINA,4A,El Cerrito,San Antonio,MN00033600004A,EL CERRITO,MN000336,True,INES PALESTINA,CENTRO SUR
Manuelita,INES PALESTINA,6A,El Cerrito,San Antonio,MN00033600006A,EL CERRITO,MN000336,True,INES PALESTINA,CENTRO SUR
Manuelita,PALESTINA 2,10A,El Cerrito,San Antonio,MN00048100010A,EL CERRITO,MN000481,True,PALESTINA,SURORIENTE
Manuelita,PALESTINA 2,2A,El Cerrito,San Antonio,MN00048100002A,EL CERRITO,MN000481,True,PALESTINA,SURORIENTE
Manuelita,PALESTINA 2,5,El Cerrito,San Antonio,MN000481000005,EL CERRITO,MN000481,True,PALESTINA,SURORIENTE
Manuelita,PALESTINA 2,6,El Cerrito,San Antonio,MN000481000006,EL CERRITO,MN000481,True,PALESTINA,SURORIENTE
Manuelita,PALESTINA 4,13,El Cerrito,San Antonio,MN000483000013,EL CERRITO,MN000483,True,PALESTINA,SURORIENTE
Manuelita,PALESTINA 4,13A,El Cerrito,San Antonio,MN00048300013A,EL CERRITO,MN000483,True,PALESTINA,SURORIENTE
Castilla,CASTILLA,120,Pradera,La Granja,CC000506000120,PRADERA,CC000506,True,CASTILLA,SURORIENTE
Castilla,SAN RAFAEL,162,Pradera,La Tupia,CC000105000162,PRADERA,CC000105,True,SAN RAFAEL,SURORIENTE
